date,weight,notes
2024-11-01,69.0,Starting weight - started eating healthy
2024-11-07,68.5,Started counting calories
2024-11-15,68.0,Started gym
2024-12-05,67.5,Started creatine
2024-12-15,67.0,On creatine
2024-12-31,66.5,Stopped creatine - started training with rocky
2025-01-01,67.75,Happy new year weight
2025-01-07,66.85,Regular workout - not strict on calories - eating healthy high protein
2025-01-09,65.95,Big win! never going below 66 (didn't stick lol)
2025-01-13,65.75,Period day 3 - after eating dominoes and idli
2025-01-19,65.70,Saturday after night of 1 drink chakna and shake shack - ate fairly healthy this week
2025-01-30,65.75,Weight increased and decreased - let myself go a little - got demotivated
2025-02-09,65.6,After 6 days no workout (gym close, knee broken, period) - moderate to strict diet
2025-02-13,65.4,Yay progress!
2025-02-14,65.2,F yea!
2025-02-17,65.00,Consistent weight
2025-03-01,65.15,Midday - sickness week
2025-03-06,65.1,Still recovering
2025-03-11,64.75,After coffee - ALL TIME LOW! Big win after 2 weeks sickness and period - started eating right
2025-03-15,64.3,Evening - whaaat wtf lesgoo - regular diet and workout this week
2025-04-06,64.75,Significant muscle growth - no calories counted (averaged 64.5-65.5)
2025-04-19,63.65,After 1 week in calorie deficit 1200-1500 calories
2025-04-27,63.5,Ate like shit recently - tough week in life
2025-04-30,63.05,No workout for 1 week - period day 2
2025-05-05,63.0,Yay - fairly healthy
2025-05-08,62.5,Eating a lot - no workout 4 days
2025-05-15,63.0,Post vacation
2025-05-28,63.4,Vacation - no workout - bad eating - period
2025-06-02,62.9,Done with all vacations - starting back
2025-06-21,62.15,Yay progress!
2025-07-02,62.2,Phew - working out and eating right again
2025-07-04,62.0,Started walking a lot
2025-07-14,61.9,Let's fucking go! Post vacay - 1 week no gym - 8k steps every day - ate clean
2025-07-25,62.05,Post period
2025-07-30,61.5,Walking and working out - eating right - lots of tofu - hello fresh
2025-07-31,61.45,Pooped hehe
2025-08-09,61.25,Eating as much as I want but healthy and clean
2025-08-27,61.15,Finally! Eating clean - working out - and ice cream yolo
2025-09-13,61.65,Phew living it up
2025-09-19,61.1,Girl is back from vacation - having tiffin everyday - will start working out
2025-09-22,61.65,Start of 75 day challenge
2025-09-22,61.45,Evening - start of 75 day challenge
2025-09-23,61.2,Day 2 of 75 day challenge
2025-10-01,60.95,75 hard day 10 - evening 7:45pm - after a good cry session
2025-10-03,60.90,Day 12
2025-10-04,60.05,Pasta + fries
2025-10-06,60.75,Evening
2025-10-07,60.15,
2025-10-20,59.80,What even? Not very good last 12 days - period and lack of motivation - diwali
2025-10-24,59.95,
2025-10-28,59.95,Same weight
2025-12-02,59.90,Fallen off diet for holiday season but working out - joined new gym in november - much stronger now
2026-01-11,59.60,LOWEST EVER - after 1 month in india with disgusting food and no workout
2026-02-13,60.00,Working out and trying to eat right again - focusing on protein vs calorie deficit - feeling more muscles
2026-02-24,60.05,Eating 70-100g protein - post period - can't control calories but lifting heavier - started 5g creatine
2026-03-01,61.1,On creatine
2026-03-04,60.7,
2026-03-09,62.35,
2026-03-10,61.65,
2026-03-19,61.35,Period day 2 - post period bloating - 1 week break due to gym diet depression protein calorie pms
2026-04-03,61.35,Eating clean - working out - focusing on 2 meals a day + ice cream diet
2026-04-24,61.5,Back to deficit day 3 - 3 week plan (after depression vacation period 10 days no workout)
2026-04-25,60.8,Evening - can't eat in deficit anymore
2026-05-08,61.2,Haven't worked out in a week - stopped creatine
2026-05-31,61.45,Midday - post 2 weeks with parents - stress - bad habits - no workout
2026-06-01,61.15,
2026-06-09,61.7,
2026-06-19,60.95,Post lunch